start_station_name,start_lat,start_lng,end_station_name,end_lat,end_lng,trip_count
Roosevelt Island Tramway,40.757284,-73.9536,Southpoint Park,40.75370225419114,-73.95865201950072,3021
West St & Liberty St,40.711444,-74.014847,West St & Liberty St,40.711444,-74.014847,3011
Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,2978
W 42 St & 8 Ave,40.7575699,-73.99098507,11 Ave & W 41 St,40.76030096,-73.99884222,2971
West St & Chambers St,40.71754834,-74.01322069,12 Ave & W 40 St,40.76087502,-74.00277668,2963
Vernon Blvd & 50 Ave,40.74232744,-73.95411749,McGuinness Blvd & Eagle St,40.73555,-73.95284,2845
5 Ave & E 78 St,40.77632142182271,-73.96427392959595,5 Ave & E 78 St,40.77632142182271,-73.96427392959595,2838
Centre St & Worth St,40.71494807,-74.00234482,Centre St & Chambers St,40.71273266,-74.0046073,2832
Canal St & Rutgers St,40.71427487,-73.98990025,Henry St & Grand St,40.714211,-73.981095,2829
Central Park S & 6 Ave,40.76590936,-73.97634151,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,2821
W 21 St & 6 Ave,40.74173969,-73.99415556,W 15 St & 7 Ave,40.73935542,-73.99931783,2819
9 Ave & W 22 St,40.7454973,-74.00197139,W 21 St & 6 Ave,40.74173969,-73.99415556,2818
Soissons Landing,40.69231660719192,-74.01486575603485,Picnic Point,40.68512559515415,-74.02535319328308,2786
Center Blvd & 51 Ave,40.74336608027021,-73.95960688591003,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,2782
45 Ave & 21 St,40.74737075646803,-73.94777297973631,46 Ave & 5 St,40.74731,-73.95451,2763
West St & Liberty St,40.711444,-74.014847,Little West St & 1 Pl,40.70569254,-74.01677685,2761
Vernon Blvd & 50 Ave,40.74232744,-73.95411749,46 Ave & 5 St,40.74731,-73.95451,2721
Henry St & Grand St,40.714211,-73.981095,Canal St & Rutgers St,40.71427487,-73.98990025,2708
46 Ave & 5 St,40.74731,-73.95451,45 Ave & 21 St,40.74737075646803,-73.94777297973631,2705
W 20 St & 10 Ave,40.745686,-74.005141,W 20 St & 8 Ave,40.74345335,-74.00004031,2691
5 Ave & E 93 St,40.7857851,-73.957481,5 Ave & E 93 St,40.7857851,-73.957481,2687
W 84 St & Columbus Ave,40.78499979,-73.97283406,Columbus Ave & W 72 St,40.7770575,-73.97898475,2685
W 26 St & 8 Ave,40.74734825,-73.99723551,10 Ave & W 28 St,40.75066386,-74.00176802,2682
11 Ave & W 41 St,40.76030096,-73.99884222,8 Ave & W 33 St,40.751551,-73.993934,2673
S 5 Pl & S 5 St,40.710451,-73.960876,S 5 Pl & S 5 St,40.710451,-73.960876,2664
6 Ave & W 33 St,40.74901271,-73.98848395,E 33 St & 1 Ave,40.74322681432173,-73.97449783980846,2656
Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,Milton St & Franklin St,40.72906,-73.95779,2637
W 20 St & 10 Ave,40.745686,-74.005141,W 21 St & 6 Ave,40.74173969,-73.99415556,2618
